dwc:taxonID	dwc:occurrenceStatus	dwc:locationID	dwc:locality	dwc:countryCode	dcterms:source
85f7fb93-185e-44a3-be04-3dab1346452a	native		Oriental region		
b2c100a1-4557-4c15-9a1b-fed4594277e9	native		West Palearctic region		
9677e5ab-6f32-4308-9f00-62ee9fa37340	native		West Palearctic region		
1e3f92ea-ca0e-4b4d-8461-ae09c501d4bc	native		Australian and Pacific regions		
240cf9ef-4896-4848-b3db-cd5f344a0593	native		Australian and Pacific regions		
b7d9dddc-8fd8-4cd7-9ab4-3691c61e9c7f	native		Neotropical region		
af233389-fd8c-46e7-b19c-9c6812222d43	native		West Palearctic region		
e25f1034-1f3e-4e6f-b232-b635c0a346f7	native		Nearctic region		
daa16e5f85bc10d8ba2458aa7cad9e70	native		Neotropical region		
77cecba2-12e3-4809-a801-48c3ac3c78bf	native		West Palearctic region		
c5757a5d-dfa5-4129-9f25-707b6ede8951	native		Neotropical region		
58e81e98-c088-4fc5-9a5c-7b70211b3a32	native		West Palearctic region		
02f1af2d-d493-432f-b6e6-cd152e00ff44	native		Afrotropical region		
16ef8098-b4d2-4b92-a3ff-b6b524f40160	native		West Palearctic region, East Palearctic region, Nearctic region		
38466de7-5155-432c-b28e-e91224746013	native		Nearctic region		
4a838727-2a8e-4ece-9309-077a1c22b1f7	native		Oriental region		
24baec64-2ce4-461b-8a50-675e54dcbe1e	native		West Palearctic region		
e187e91a-ca7b-4ebf-bf1c-720674859415	native		Oriental region		
f7a1b76c-9f2d-4aed-b517-5e1b216ba37c	native		West Palearctic region		
e2252cc7-af93-45ab-ab88-8709d3979cbf	native		Neotropical region		
a8a502bb-02e2-40f2-9e68-c345aae15723	native		Afrotropical region		
7ff25199-a104-4cc4-ba72-9ddfea388429	native		Australian and Pacific regions		
20aa6fc8-8e95-41c2-a8ed-1f354d77c1a5	native		West Palearctic region, East Palearctic region		
c668c501-9aca-463d-bd33-11b9a3ef4e00	native		Nearctic region		
